gene_id	chrom	start	end	strand	unique_count	effective_count
YAL025C	I	100225	101145	-	5	5.000
YAL024C	I	101565	105872	-	7	7.000
YAL023C	I	106272	108551	-	81	81.000
YAL022C	I	108877	110430	-	20	20.000
YAL021C	I	110846	113359	-	60	60.000
YAL020C	I	113614	114615	-	13	13.000
YAL019W-A	I	114250	114819	+	0	0.000
YAL019W	I	114919	118314	+	1	1.000
YAL018C	I	118564	119541	-	6	6.000
YAL017W	I	120225	124295	+	50	50.000
YAL016C-B	I	124307	124492	-	0	0.000
YAL016C-A	I	124755	125069	-	0	0.000
YAL016W	I	124879	126786	+	105	105.000
YAL015C	I	126903	128102	-	10	10.270
YAL014C	I	128252	129019	-	27	27.730
YAL013W	I	129270	130487	+	13	13.000
YAL012W	I	130799	131983	+	115	115.000
YAL011W	I	132199	134076	+	3	3.000
YAL010C	I	134184	135665	-	11	11.000
YAL009W	I	135854	136633	+	14	14.000
YAL008W	I	136914	137510	+	55	55.000
YAL007C	I	137698	138345	-	30	30.000
tP(UGG)A	I	139152	139254	+	0	0.000
YAL005C	I	139503	141431	-	1802	2187.260
YAL004W	I	140760	141407	+	8	8.000
YAL003W	I	142174	143160	+	173	183.000
snR18	I	142367	142468	+	0	0.000
YAL002W	I	143707	147531	+	16	16.067
YAL001C	I	147594	151166	-	13	13.000
YAR002W	I	152257	153876	+	10	10.042
YAR002C-A	I	154065	154724	-	89	89.039
YAR003W	I	155005	156285	+	13	13.054
YAR007C	I	156754	158619	-	35	35.000
YAR008W	I	158966	159793	+	11	11.000
YAR009C	I	160597	164187	-	33	94.493
YAR010C	I	164544	165866	-	41	59.169
tA(UGC)A	I	166267	166339	+	0	0.000
YAR014C	I	166742	168871	-	27	27.000
YAR015W	I	169375	170295	+	45	45.000
YAR018C	I	170396	171703	-	4	4.000
YAR019C	I	172211	175135	-	14	14.000
YAR019W-A	I	174998	175330	+	1	1.000
YAR020C	I	176856	177023	-	2	2.000
YAR023C	I	179281	179820	-	4	4.000
tL(CAA)A	I	181141	181254	+	0	0.000
tS(AGA)A	I	182522	182603	-	0	0.000
YAR027W	I	183770	184477	+	43	43.000
YAR028W	I	184892	185596	+	12	12.000
YAR029W	I	186321	186545	+	1	1.000
YAR030C	I	186512	186853	-	1	1.000
YAR031W	I	186836	187732	+	3	3.429
YAR033W	I	188107	188811	+	5	5.385
YAR035W	I	190193	192256	+	136	136.000
YAR035C-A	I	192337	192417	-	1	1.000
YAR042W	I	192619	196185	+	23	23.000
YAR047C	I	201467	201787	-	0	0.000
YAR050W	I	203403	208016	+	7	7.000
YAR053W	I	208367	208663	+	0	0.000
YAR060C	I	217157	217492	-	0	1.000
YAR061W	I	218140	219145	+	0	1.000
YAR064W	I	220198	220497	+	0	0.000
YAR066W	I	221049	221660	+	0	0.000
YAR068W	I	222406	222891	+	1	2.750
YAR069C	I	224011	224304	-	0	0.500
YAR070C	I	224563	224862	-	0	0.000
YAR071W	I	225460	226863	+	2	4.444
YAR073W	I	227742	228953	+	0	0.000
YAR075W	I	228844	229317	+	0	0.000
YBL113C	II	280	2658	-	34	69.864
YBL113W-A	II	646	1128	+	1	1.000
YBL112C	II	2582	2899	-	2	2.000
YBL111C	II	2907	5009	-	2	3.004
YBL109W	II	5790	6125	+	1	1.000
YBL108C-A	II	7605	7733	-	0	0.000
YBL108W	II	8177	8482	+	0	0.000
YBL107W-A	II	9268	9372	+	11	11.619
tL(UAA)B1	II	9583	9666	+	0	0.000
YBL107C	II	9961	10551	-	21	21.000
YBL106C	II	10847	13879	-	21	21.000
YBL105C	II	14241	17696	-	19	19.000
YBL104C	II	18177	21293	-	8	8.000
YBL103C	II	22076	23536	-	14	14.000
YBL102W	II	24098	24745	+	54	54.014
YBL101C	II	24946	28299	-	24	24.000
YBL100W-C	II	28427	28546	+	0	0.000
YBL100W-A	II	29935	31251	+	0	0.000
YBL100W-B	II	29935	35248	+	5	20.143
tF(GAA)B	II	36398	36488	+	0	0.000
YBL100C	II	36989	37303	-	28	28.092
YBL099W	II	37053	38690	+	661	662.116
YBL098W	II	39145	40527	+	42	42.000
YBL097W	II	40831	43095	+	1	1.000
YBL096C	II	43174	43482	-	0	0.000
YBL095W	II	43277	44089	+	25	25.000
YBL094C	II	43765	44097	-	0	0.000
YBL093C	II	44256	44918	-	11	12.000
YBL092W	II	45978	46370	+	220	220.000
YBL091C-A	II	46565	47180	-	6	6.000
YBL091C	II	47363	48628	-	32	32.000
YBL090W	II	48825	49358	+	10	10.000
YBL089W	II	49574	50953	+	24	24.000
YBL088C	II	51019	59382	-	18	18.000
YBL087C	II	59822	60739	-	88	88.000
YBL086C	II	61202	62602	-	2	2.000
YBL085W	II	63876	66818	+	12	12.000
YBL084C	II	67169	69445	-	22	22.000
YBL083C	II	69713	70138	-	0	0.000
YBL082C	II	69751	71127	-	13	20.000
YBL081W	II	71866	72972	+	9	9.000
YBL080C	II	73070	74695	-	5	5.000
YBL079W	II	75259	79767	+	22	22.000
YBL078C	II	80378	80731	-	29	29.000
YBL077W	II	80897	81328	+	0	0.000
YBL076C	II	81043	84261	-	94	95.000
YBL075C	II	84499	86448	-	589	589.000
YBL074C	II	86722	87789	-	0	0.000
YBL073W	II	87646	87957	+	0	0.000
snR56	II	88190	88277	+	0	0.000
YBL072C	II	88523	89125	-	337	337.752
YBL071C-B	II	89458	89556	-	0	0.000
YBL071W-A	II	89978	90226	+	6	6.000
YBL071C	II	90223	90531	-	0	0.000
YBL070C	II	90605	90925	-	0	0.000
YBL069W	II	90741	92030	+	9	12.000
YBL068W-A	II	91794	92030	+	0	0.000
YBL068W	II	92414	93394	+	14	14.000
YBL067C	II	93639	95882	-	38	38.000
YBL066C	II	96669	100115	-	26	26.000
YBL065W	II	99963	100307	+	1	1.000
YBL064C	II	100371	101156	-	191	191.000
YBL063W	II	101886	105221	+	6	6.000
YBL062W	II	105308	105688	+	0	0.000
YBL061C	II	105316	107406	-	9	9.000
YBL060W	II	107932	109995	+	2	2.000
YBL059C-A	II	110125	110539	-	14	14.000
YBL059W	II	110594	111244	+	15	15.000
YBL058W	II	111437	112708	+	53	53.000
YBL057C	II	112801	113427	-	16	16.000
YBL056W	II	113762	115168	+	50	50.000
YBL055C	II	115573	116829	-	10	10.000
YBL054W	II	117589	119166	+	6	6.000
YBL053W	II	119335	119709	+	0	0.000
YBL052C	II	119379	121874	-	8	8.000
YBL051C	II	122753	124759	-	16	16.000
YBL050W	II	125125	126119	+	38	38.000
YBL049W	II	126828	127244	+	114	127.680
YBL048W	II	127299	127610	+	36	40.320
YBL047C	II	127895	132040	-	87	87.000
YBL046W	II	132424	133749	+	3	3.000
YBL045C	II	134143	135516	-	314	314.000
YBL044W	II	135998	136366	+	1	1.000
YBL043W	II	136688	137461	+	29	29.000
YBL042C	II	138341	140260	-	20	20.000
YBL041W	II	141247	141972	+	83	83.000
YBL040C	II	142112	142868	-	35	35.000
YBL039W-B	II	143393	143572	+	10	10.000
YBL039C	II	143989	145728	-	11	11.000
YBL039C-A	II	144948	145031	-	0	0.000
YBL038W	II	146187	146885	+	20	20.000
YBL037W	II	147209	150286	+	16	16.000
YBL036C	II	150447	151220	-	17	17.000
YBL035C	II	151493	153610	-	9	9.000
YBL034C	II	153848	158389	-	10	10.000
YBL033C	II	158656	159693	-	28	28.000
YBL032W	II	160184	161329	+	34	34.258
YBL031W	II	161699	162715	+	4	4.000
YBL030C	II	163041	163997	-	807	807.000
YBL029C-A	II	164488	164772	-	32	32.000
YBL029W	II	166134	167264	+	20	20.000
YBL028C	II	167518	167838	-	3	3.000
YBL027W	II	168423	169376	+	165	165.000
YBL026W	II	170623	171038	+	21	21.000
YBL025W	II	171481	171918	+	8	8.000
YBL024W	II	172534	174588	+	14	14.000
YBL023C	II	174920	177526	-	13	13.000
YBL022C	II	177874	181275	-	53	53.000
YBL021C	II	181660	182094	-	8	8.000
YBL020W	II	182401	184125	+	27	27.000
YBL019W	II	184353	185915	+	10	10.000
YBL018C	II	185998	186474	-	3	3.000
YBL017C	II	186844	191583	-	43	43.000
YBL016W	II	192451	193512	+	15	15.000
YBL015W	II	194122	195702	+	197	197.000
tI(AAU)B	II	197494	197567	+	0	0.000
tG(GCC)B	II	197629	197699	-	0	0.000
YBL014C	II	199064	201748	-	8	8.000
YBL013W	II	202056	203261	+	0	0.000
YBL012C	II	203406	203807	-	0	0.000
YBL011W	II	203538	205817	+	28	28.000
YBL010C	II	206107	206949	-	4	4.000
YBL009W	II	207194	209224	+	14	14.000
YBL008W-A	II	209409	209648	+	0	0.000
YBL008W	II	209653	212175	+	9	10.000
YBL007C	II	212632	216366	-	46	46.000
YBL006C	II	216587	217129	-	19	19.000
YBL006W-A	II	216711	216860	+	1	1.000
YBL005W	II	217470	220400	+	14	14.000
YBL005W-A	II	221330	222652	+	0	0.000
YBL005W-B	II	221330	226598	+	1	3.006
tS(AGA)B	II	227075	227156	+	0	0.000
YBL004W	II	227636	235117	+	16	16.000
YBL003C	II	235394	235792	-	117	117.000
YBL002W	II	236492	236887	+	220	220.000
YBL001C	II	237153	237467	-	73	73.000
YBR001C	II	238941	241283	-	29	29.000
YBR002C	II	241708	242568	-	9	9.000
YBR003W	II	242809	244230	+	20	20.000
YBR004C	II	244366	245667	-	15	15.000
YBR005W	II	245906	246547	+	28	28.000
YBR006W	II	247010	248503	+	30	30.000
YBR007C	II	248806	251016	-	13	13.000
YBR008C	II	252563	254209	-	25	25.000
YBR009C	II	255373	255684	-	206	206.000
YBR010W	II	256331	256741	+	205	205.000
YBR011C	II	257112	257975	-	317	317.000
YBR012C	II	259147	259566	-	5	5.000
YBR012W-A	II	259869	261191	+	0	0.000
YBR012W-B	II	259869	265140	+	6	49.383
YBR013C	II	265492	265881	-	5	5.181
tT(AGU)B	II	266378	266450	+	0	0.000
YBR014C	II	266725	267336	-	12	12.000
YBR015C	II	267710	269503	-	85	85.000
YBR016W	II	270247	270633	+	52	52.000
YBR017C	II	270947	273703	-	23	23.000
YBR018C	II	274427	275527	-	0	0.000
YBR019C	II	276253	278352	-	9	9.000
YBR020W	II	279021	280607	+	6	6.000
YBR021W	II	281443	283344	+	16	16.000
YBR022W	II	283738	284271	+	11	11.000
YBR023C	II	284428	287925	-	65	65.000
YBR024W	II	289445	290350	+	14	14.000
YBR025C	II	290681	291865	-	173	173.000
YBR026C	II	292877	294019	-	131	131.000
YBR027C	II	294024	294356	-	0	0.000
YBR028C	II	294425	296002	-	9	9.000
YBR029C	II	296369	297742	-	109	109.000
YBR030W	II	298292	299950	+	10	10.000
YBR031W	II	300166	301254	+	264	358.022
YBR032W	II	301519	301821	+	4	4.000
YBR033W	II	301944	304703	+	12	12.000
YBR034C	II	304930	305976	-	17	17.000
YBR035C	II	306269	306955	-	49	49.000
snR161	II	307185	307345	-	0	0.000
YBR036C	II	309081	310313	-	131	131.000
YBR037C	II	310565	311452	-	18	18.000
YBR038W	II	311898	314789	+	33	33.000
YBR039W	II	315575	316510	+	146	146.000
YBR040W	II	316968	317864	+	0	0.000
YBR041W	II	318266	320275	+	25	25.000
YBR042C	II	320416	321609	-	7	7.000
YBR043C	II	321876	323945	-	36	36.000
YBR044C	II	324341	326059	-	9	9.000
tV(UAC)B	II	326792	326865	-	0	0.000
YBR045C	II	328173	330092	-	12	12.000
YBR046C	II	330507	331511	-	61	61.000
YBR047W	II	331833	332360	+	14	14.000
YBR048W	II	332831	333812	+	214	214.000
YBR049C	II	334386	336818	-	30	30.000
YBR050C	II	337183	338199	-	11	11.000
YBR051W	II	337988	338338	+	2	2.000
YBR052C	II	338720	339352	-	43	43.000
YBR053C	II	339675	340751	-	66	66.000
YBR054W	II	343101	344135	+	493	493.000
YBR055C	II	344602	347301	-	15	15.000
tL(UAA)B2	II	347603	347686	+	0	0.000
YBR056W	II	347879	349384	+	38	38.000
tQ(UUG)B	II	350827	350898	+	0	0.000
YBR056W-A	II	351255	351455	+	18	18.000
YBR056C-B	II	351293	351451	-	3	3.000
YBR057C	II	352193	353293	-	11	11.000
YBR058C	II	353672	356017	-	19	19.000
YBR058C-A	II	356324	356566	-	36	36.000
YBR059C	II	356861	360187	-	19	19.000
YBR060C	II	360652	362514	-	5	5.000
YBR061C	II	364787	365719	-	6	6.000
YBR062C	II	365976	366600	-	27	27.000
YBR063C	II	366970	368184	-	13	13.000
YBR064W	II	367763	368191	+	1	1.000
YBR065C	II	368584	369678	-	1	1.000
YBR066C	II	370037	370699	-	4	4.000
YBR067C	II	372103	372735	-	8290	8298.638
YBR068C	II	373861	375690	-	334	334.000
YBR069C	II	376574	378433	-	3	3.000
YBR070C	II	379221	379934	-	25	25.000
YBR071W	II	380411	381046	+	82	82.000
YBR072W	II	382030	382674	+	3491	3493.269
YBR072C-A	II	382860	383021	-	1	1.000
YBR073W	II	383112	385988	+	24	24.000
YBR074W	II	386286	389216	+	13	13.000
YBR076W	II	390227	391291	+	12	12.000
YBR076C-A	II	391351	391617	-	34	36.698
YBR077C	II	391805	392293	-	29	31.302
YBR078W	II	393123	394742	+	449	449.147
YBR079C	II	395383	398277	-	39	39.000
YBR080C	II	398614	400890	-	29	29.000
YBR081C	II	401253	405251	-	11	11.000
tR(UCU)B	II	405878	405949	+	0	0.000
tD(GUC)B	II	405960	406031	+	0	0.000
YBR082C	II	406628	407169	-	54	54.000
YBR083W	II	409169	410629	+	15	15.000
YBR084W	II	411054	413981	+	23	23.000
YBR084C-A	II	414186	415261	-	139	139.000
YBR085W	II	415983	416906	+	6	6.000
YBR085C-A	II	418907	419164	-	188	188.000
YBR086C	II	420201	423041	-	98	98.000
YBR087W	II	423765	424829	+	10	10.000
YBR088C	II	424990	425766	-	29	29.000
YBR089W	II	425183	425782	+	0	0.000
YBR089C-A	II	426190	426489	-	96	195.623
YBR090C	II	426333	427058	-	10	20.377
YBR091C	II	427155	427484	-	13	13.000
YBR092C	II	427698	429101	-	7	7.000
YBR093C	II	429548	430951	-	3	3.000
YBR094W	II	432036	434297	+	16	16.000
YBR095C	II	434406	435698	-	7	7.000
YBR096W	II	436021	436713	+	28	28.000
YBR097W	II	436951	441315	+	10	10.000
YBR098W	II	441515	443590	+	12	12.000
YBR099C	II	442924	443307	-	7	7.000
YBR101C	II	443821	444693	-	97	97.000
YBR102C	II	445062	447323	-	14	14.000
YBR103W	II	447709	449316	+	20	20.000
YBR103C-A	II	449320	449463	-	0	0.000
YBR104W	II	449667	450656	+	5	5.000
YBR105C	II	450881	451969	-	10	10.000
YBR106W	II	452658	453224	+	92	92.000
YBR107C	II	453793	454530	-	6	6.000
YBR108W	II	454822	457665	+	17	17.000
YBR109C	II	457919	458362	-	158	158.000
YBR109W-A	II	458608	458832	+	0	0.000
YBR110W	II	458872	460221	+	35	35.005
YBR111C	II	461178	461873	-	38	38.000
YBR111W-A	II	462139	462579	+	8	8.000
YBR112C	II	462870	465770	-	22	22.000
YBR113W	II	465566	466048	+	0	0.000
YBR114W	II	467248	469620	+	12	12.000
YBR115C	II	469748	473926	-	46	46.000
YBR116C	II	474199	474726	-	1	1.260
YBR117C	II	474392	476437	-	122	153.740
YBR118W	II	477671	479047	+	2090	5464.135
YBR119W	II	479338	480323	+	13	13.000
YBR120C	II	480435	480923	-	11	11.000
YBR121C	II	481364	483367	-	77	83.000
YBR121C-A	II	482326	482484	-	0	0.000
YBR122C	II	483970	484503	-	35	35.000
YBR123C	II	484742	486691	-	13	13.000
YBR124W	II	486507	486866	+	1	1.000
YBR125C	II	487199	488380	-	38	38.000
YBR126C	II	488905	490392	-	149	149.000
YBR126W-A	II	490850	491056	+	0	25.500
YBR126W-B	II	490927	491070	+	0	25.500
YBR127C	II	491269	492822	-	179	179.000
YBR128C	II	493081	494115	-	5	5.000
YBR129C	II	494353	495339	-	13	13.531
YBR130C	II	495592	496869	-	5	5.204
YBR131W	II	497163	499277	+	3	3.000
YBR131C-A	II	497650	497739	-	0	0.000
YBR132C	II	499652	501442	-	31	32.265
YBR133C	II	501804	504287	-	22	22.000
YBR134W	II	504243	504644	+	0	0.000
YBR135W	II	504854	505306	+	24	24.000
YBR136W	II	505668	512774	+	13	13.000
YBR137W	II	513044	513583	+	22	22.000
YBR138C	II	513762	515336	-	7	7.000
YBR139W	II	515664	517190	+	86	86.024
YBR140C	II	517350	526628	-	54	54.000
YBR141C	II	527025	528038	-	11	11.000
YBR141W-A	II	527167	527262	+	1	1.000
YBR142W	II	528317	530638	+	6	6.000
YBR143C	II	530869	532182	-	69	69.246
YBR144C	II	533235	533549	-	0	0.000
YBR145W	II	533762	534817	+	24	24.000
YBR146W	II	535260	536096	+	30	30.000
YBR147W	II	536575	537465	+	24	24.000
YBR148W	II	537876	539705	+	4	4.000
YBR149W	II	539987	541021	+	224	224.000
YBR150C	II	541209	544493	-	11	11.051
YBR151W	II	545028	545978	+	52	52.000
YBR152W	II	546376	547251	+	1	1.000
YBR153W	II	547460	548194	+	8	8.000
YBR154C	II	548362	549009	-	13	13.000
YBR155W	II	549771	550928	+	5	5.000
YBR156C	II	551104	553200	-	5	5.000
YBR157C	II	553543	554310	-	42	42.000
YBR158W	II	556549	558198	+	63	63.000
YBR159W	II	558685	559728	+	56	56.000
YBR160W	II	560078	560974	+	21	21.000
YBR161W	II	561634	562764	+	8	8.000
YBR162C	II	563203	564570	-	344	344.000
YBR162W-A	II	565231	565428	+	32	32.000
YBR163W	II	565723	567480	+	11	11.000
YBR164C	II	567875	568426	-	9	9.000
YBR165W	II	568852	569685	+	12	12.000
YBR166C	II	569842	571200	-	22	22.000
YBR167C	II	571468	571890	-	10	10.000
YBR168W	II	572371	573612	+	15	15.000
YBR169C	II	573915	575996	-	126	126.000
YBR170C	II	576344	578086	-	19	19.000
YBR171W	II	578364	578984	+	13	13.000
YBR172C	II	579150	581372	-	11	11.000
YBR173C	II	581726	582172	-	89	89.000
YBR174C	II	582338	582652	-	0	0.000
YBR175W	II	582408	583355	+	3	3.000
YBR176W	II	583720	584658	+	14	14.000
YBR177C	II	584807	586162	-	158	158.000
YBR178W	II	586071	586445	+	0	0.000
YBR179C	II	586547	589114	-	17	17.000
YBR180W	II	589741	591459	+	1	1.000
YBR181C	II	591712	592774	-	133	175.144
YBR182C	II	593506	594864	-	17	17.000
YBR182C-A	II	595361	595555	-	0	0.000
YBR183W	II	596115	597065	+	59	59.000
YBR184W	II	597363	598934	+	1	1.000
YBR185C	II	599123	599959	-	18	18.000
YBR186W	II	600553	602360	+	3	3.000
YBR187W	II	602634	603476	+	46	46.000
YBR188C	II	603685	604107	-	2	2.000
YBR189W	II	604508	605508	+	167	167.000
YBR190W	II	605966	606277	+	0	0.000
YBR191W	II	606270	607140	+	127	141.000
YBR191W-A	II	607149	607223	+	0	0.000
YBR192W	II	607652	608785	+	6	6.000
YBR193C	II	609082	609753	-	6	6.000
YBR194W	II	610038	610409	+	5	5.000
YBR195C	II	610614	611882	-	10	10.000
YBR196C	II	612236	613900	-	519	520.000
YBR196C-A	II	614024	614173	-	0	0.000
YBR196C-B	II	614526	614630	-	1	1.000
YBR197C	II	615203	615856	-	10	10.000
YBR198C	II	616127	618523	-	28	28.000
YBR199W	II	618909	620303	+	50	50.000
YBR200W	II	620872	622527	+	15	15.000
YBR200W-A	II	622983	623147	+	1	1.000
YBR201W	II	623576	624211	+	5	5.000
YBR201C-A	II	624493	624696	-	35	35.000
YBR202W	II	625772	628309	+	24	24.000
YBR203W	II	629168	631942	+	70	70.000
YBR204C	II	632254	633381	-	17	17.000
YBR205W	II	633622	634836	+	19	23.318
YBR206W	II	634601	634924	+	3	3.682
YBR207W	II	635146	636543	+	48	48.000
YBR208C	II	636703	642210	-	27	27.000
YBR209W	II	642583	642900	+	31	31.000
tC(GCA)B	II	643007	643078	-	0	0.000
tE(UUC)B	II	645167	645238	+	1	1.000
YBR210W	II	645550	645978	+	20	20.000
YBR211C	II	646158	647132	-	6	6.000
YBR212W	II	647886	649904	+	187	187.000
YBR213W	II	650368	651192	+	4	4.000
YBR214W	II	651415	652998	+	199	199.000
YBR215W	II	653356	655317	+	11	11.000
YBR216C	II	655576	657600	-	18	18.000
YBR217W	II	657832	658392	+	4	4.000
YBR218C	II	658707	662249	-	95	95.000
YBR219C	II	662499	663303	-	1	1.727
YBR220C	II	662995	664677	-	10	17.273
YBR221C	II	665153	666253	-	283	283.000
YBR221W-A	II	666538	666642	+	0	0.000
YBR222C	II	666720	668351	-	180	180.000
YBR223C	II	668663	670297	-	10	10.000
YBR223W-A	II	668721	668840	+	0	0.000
YBR224W	II	670125	670640	+	0	0.000
YBR225W	II	670627	673329	+	21	21.000
YBR226C	II	673155	673565	-	2	2.000
YBR227C	II	673572	675134	-	9	9.000
YBR228W	II	675313	676227	+	3	3.000
YBR229C	II	676357	679221	-	26	26.000
YBR230C	II	679549	680050	-	335	335.831
YBR230W-A	II	680362	680562	+	57	57.000
LSR1	II	680688	681862	-	16	16.000
YBR231C	II	682179	683090	-	16	16.000
YBR232C	II	683373	683732	-	0	0.000
YBR233W	II	683428	684669	+	9	9.000
YBR233W-A	II	684977	685261	+	3	3.000
YBR234C	II	685438	686592	-	130	130.000
YBR235W	II	686901	690263	+	23	23.000
YBR236C	II	690383	691693	-	14	14.000
YBR237W	II	691969	694518	+	15	15.000
YBR238C	II	695107	697302	-	3	3.000
YBR239C	II	698354	699943	-	8	8.000
YBR240C	II	700490	701842	-	8	8.000
YBR241C	II	702589	704055	-	132	132.000
YBR242W	II	704670	705386	+	20	20.000
YBR243C	II	705447	706793	-	44	44.000
YBR244W	II	707528	708016	+	1	1.000
YBR245C	II	708150	711539	-	10	10.000
YBR246W	II	711591	712754	+	15	15.000
YBR247C	II	713004	714455	-	10	10.000
YBR248C	II	714807	716465	-	36	36.000
YBR249C	II	716882	717994	-	112	112.000
YBR250W	II	719033	720604	+	4	4.000
YBR251W	II	721390	722313	+	8	8.000
YBR252W	II	722611	723054	+	20	20.000
YBR253W	II	723270	723635	+	10	10.000
YBR254C	II	723736	724263	-	3	3.000
YBR255W	II	724456	726540	+	8	8.106
YBR255C-A	II	726618	727074	-	67	68.062
YBR256C	II	727386	728102	-	44	44.000
YBR257W	II	728885	729724	+	15	15.000
YBR258C	II	729734	730162	-	6	6.000
YBR259W	II	730387	732453	+	5	5.000
YBR260C	II	732639	734639	-	22	22.000
YBR261C	II	734832	735530	-	13	13.000
YBR262C	II	735720	736040	-	34	34.000
YBR263W	II	736264	737736	+	56	56.000
YBR264C	II	737770	738369	-	14	14.000
YBR265W	II	738582	739544	+	42	42.000
YBR267W	II	739841	741022	+	15	15.000
YBR266C	II	739936	740388	-	0	0.000
YBR268W	II	741299	741616	+	14	14.000
YBR269C	II	742160	742576	-	99	99.000
YBR270C	II	742761	744398	-	14	14.000
YBR271W	II	744852	746111	+	5	5.000
YBR272C	II	746361	747803	-	13	13.000
YBR273C	II	748061	749371	-	24	24.000
YBR274W	II	749594	751177	+	14	14.000
YBR275C	II	751356	757106	-	18	18.000
YBR276C	II	757620	760043	-	31	31.000
YBR277C	II	760215	760616	-	0	0.000
YBR278W	II	760294	760899	+	11	11.000
YBR279W	II	761257	762594	+	13	13.000
YBR280C	II	762784	764697	-	40	40.000
YBR281C	II	764970	767606	-	14	14.000
YBR282W	II	768240	768680	+	8	8.000
YBR283C	II	768943	770415	-	109	109.000
YBR284W	II	771239	773632	+	2	2.000
YBR285W	II	773922	774356	+	22	22.000
YBR286W	II	774700	776313	+	356	356.000
YBR287W	II	776571	777854	+	48	48.000
YBR288C	II	778012	779463	-	15	15.000
YBR289W	II	779667	782384	+	16	16.000
YBR290W	II	782591	783556	+	23	23.000
YBR291C	II	783673	784572	-	16	16.000
YBR292C	II	784702	785073	-	0	0.000
YBR293W	II	787006	788430	+	25	25.248
YBR294W	II	789235	791814	+	135	135.000
YBR295W	II	792849	796499	+	69	69.000
YBR296C	II	796798	798522	-	5	5.000
YBR296C-A	II	800123	800242	-	0	0.000
YBR297W	II	800523	801929	+	54	55.770
YBR298C	II	802631	804475	-	605	605.957
YBR298C-A	II	805035	805256	-	0	0.000
YBR299W	II	805351	807105	+	198	265.326
YBR300C	II	808600	809097	-	0	0.000
YBR301W	II	809057	809419	+	2	2.000
YBR302C	II	810340	811479	-	68	70.637
YCL076W	III	1392	2135	+	0	0.000
YCL075W	III	2126	2566	+	0	0.000
YCL074W	III	2824	3750	+	0	0.000
YCL073C	III	6479	8326	-	0	0.000
YCL069W	III	9706	11082	+	0	0.000
YCL068C	III	11503	12285	-	0	0.000
YCL067C	III	12386	13018	-	0	0.000
YCL066W	III	13282	13809	+	0	1.000
YCL065W	III	13751	14119	+	0	1.000
YCL064C	III	15798	16880	-	2	2.000
YCL063W	III	17290	18561	+	13	13.000
YCL061C	III	18816	22106	-	3	3.000
YCL059C	III	22429	23379	-	5	5.000
YCL058C	III	23523	23981	-	1	1.123
YCL058W-A	III	23584	23925	+	4	4.000
YCL057C-A	III	24032	24325	-	113	126.877
YCL057W	III	24768	26906	+	80	80.000
YCL056C	III	26925	27359	-	12	12.000
YCL055W	III	27929	28936	+	5	5.000
YCL054W-A	III	30910	30996	+	27	27.000
